wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
pCi/m3,,,,,,pCi/L,x * 0.001,x / 0.001,pCi/m3,
pCi/mL|pCi/ml,,,,,,pCi/L,x * 1000,x / 1000,pCi/mL|pCi/ml,
pct modern,,,,,,pct modern,x,x,pct modern,
PCU,,,,,,PCU,x,x,PCU,
per cm,,,,,,per m,x * 100,x / 100,per cm,
per day,,,,,,per day,x,x,per day,
per m,,,,,,per nm,x * 1000000000,x / 1000000000,per m,
per mil,,,,,,ug/kg,x * 1000000,x / 1000000,per mil,
per nm,,,,,,per nm,x,x,per nm,
pfu/100L|pfu/100l,,,,,,pfu/100mL,x * 1000,x / 1000,pfu/100L|pfu/100l,
pfu/100mL|pfu/100ml,,,,,,pfu/100mL,x,x,pfu/100mL|pfu/100ml,
pfu/L|pfu/l,,,,,,pfu/100mL,x * 10,x / 10,pfu/L|pfu/l,
pg,,,,,,g,x * 0.000000000001,x / 0.000000000001,pg,
pg/cm3,,,,,,ug/L,x * 0.001,x / 0.001,pg/cm3,
pg/g,,,,,,ug/kg,x * 0.001,x / 0.001,pg/g,
pg/kg,,,,,,ug/kg,x * 0.000001,x / 0.000001,pg/kg,
pg/L|pg/l,,,,,,ug/L,x * 0.000001,x / 0.000001,pg/L|pg/l,
pg/m2,,,,,,g/m2,x * 0.000000000001,x / 0.000000000001,pg/m2,
pg/m3,,,,,,ug/L,x * 0.000000001,x / 0.000000001,pg/m3,
pg/mL|pg/ml,,,,,,ug/L,x * 0.001,x / 0.001,pg/mL|pg/ml,
phi,,,,,,phi,x,x,phi,
Plate cnt,,,,,,Plate cnt,x,x,Plate cnt,
pmc,,,,,,pmc,x,x,pmc,
pmol/mg/min,,,,,,pmol/mg/min,x,x,pmol/mg/min,
ppb,,,,,,ug/kg,x,x,ppb,
ppbv,,,,,,ug/kg,x * 11,x / 11,ppbv,
ppmv,,,,,,ug/kg,x * 1000,x / 1000,ppmv,
psf,,,,,,psf,x,x,psf,
psi,,,,,,g/m2,x * 703069.58,x / 703069.58,psi,
pt,,,,,,m3,x * 0.000473177,x / 0.000473177,pt,
qt,,,,,,m3,x * 0.000946353,x / 0.000946353,qt,
RFU,,,,,,RFU,x,x,RFU,
RLU,,,,,,RLU,x,x,RLU,
RmV,,,,,,RmV,x,x,RmV,
RU,,,,,,RU,x,x,RU,
RUDS/10000ft,,,,,,RUDS/10000ft,x,x,RUDS/10000ft,
SBU,,,,,,SBU,x,x,SBU,
Sec,,,,,,Deg,x / 360,x * 360,Sec,
seconds,,,,,,minutes,x / 60,x * 60,seconds,
T.O.N.,,,,,,T.O.N.,x,x,T.O.N.,
T.U.,,,,,,pCi/L,x * 3.22,x / 3.22,T.U.,
tons,,,,,,g,x * 907184.74,x / 907184.74,tons,
tons/ac ft,,,,,,ug/L,x * 735462.3673,x / 735462.3673,tons/ac ft,
tons/day,,,,,,lb/day,x * 2000,x / 2000,tons/day,
tons/day/ft,,,,,,tons/day/ft,x,x,tons/day/ft,
tons/ft2,,,,,,tons/ft2,x,x,tons/ft2,
tons/kt,,,,,,tons/kt,x,x,tons/kt,
tons/sec,,,,,,tons/sec,x,x,tons/sec,
Torr,,,,,,g/m2,x * 13595.09806,x / 13595.09806,Torr,
tsc/100mL|tsc/100ml,,,,,,tsc/100mL,x,x,tsc/100mL|tsc/100ml,
tsc/g,,,,,,tsc/g,x,x,tsc/g,
TU,,,,,,TU,x,x,TU,
TUc,,,,,,TUc,x,x,TUc,
uATM,,,,,,atm,x * 0.000001,x / 0.000001,uATM,
uE/m2,,,,,,uE/m2,x,x,uE/m2,
uE/m2/s,,,,,,uE/m2/s,x,x,uE/m2/s,
uE/m2/sec,,,,,,uE/m2/sec,x,x,uE/m2/sec,
ueq/L|ueq/l,,,,,,meq/L,x * 1000,x / 1000,ueq/L|ueq/l,
ug,,,,,,g,x * 0.000001,x / 0.000001,ug,
ug/100cm2,,,,,,ug/cm2,x * 0.01,x / 0.01,ug/100cm2,
ug/cart,,,,,,ug/cart,x,x,ug/cart,
ug/cm2,,,,,,g/m2,x * 0.01,x / 0.01,ug/cm2,
ug/cm2/30day,,,,,,ug/cm2/30day,x,x,ug/cm2/30day,
ug/cm2/day,,,,,,mg/m2/day,x * 10,x / 10,ug/cm2/day,
ug/cm3,,,,,,ug/L,x * 1000,x / 1000,ug/cm3,
ug/dm2/day,,,,,,ug/dm2/day,x,x,ug/dm2/day,
ug/dm2/month,,,,,,ug/dm2/month,x,x,ug/dm2/month,
ug/g,,,,,,ug/kg,x * 1000,x / 1000,ug/g,
ug/g DW/hr,,,,,,ug/g DW/hr,x,x,ug/g DW/hr,
ug/hr/g,,,,,,ug/hr/g,x,x,ug/hr/g,
ug/kg|ng/g,,,,,,ug/kg,x,x,ug/kg|ng/g,
ug/L|ug/l,,,,,,ug/L,x,x,ug/L|ug/l,
ug/m2,,,,,,g/m2,x * 0.000001,x / 0.000001,ug/m2,
ug/m2/hr,,,,,,ug/m2/hr,x,x,ug/m2/hr,
ug/m3,,,,,,ug/L,x * 0.001,x / 0.001,ug/m3,
ug/mL|ug/ml,,,,,,ug/L,x * 1000,x / 1000,ug/mL|ug/ml,
ug/net,,,,,,ug/net,x,x,ug/net,
ug/PUF,,,,,,ug/PUF,x,x,ug/PUF,
ug/scrubbie,,,,,,ug/scrubbie,x,x,ug/scrubbie,
ug/sec,,,,,,ug/sec,x,x,ug/sec,
ug/wipe,,,,,,ug/wipe,x,x,ug/wipe,
uL|ul,,,,,,m3,x * 0.000000001,x / 0.000000001,uL|ul,
um,,,,,,m,x * 0.000001,x / 0.000001,um,
um/yr,,,,,,um/yr,x,x,um/yr,
um3,,,,,,um3,x,x,um3,
um3/100mL|um3/100ml,,,,,,um3/100mL,x,x,um3/100mL|um3/100ml,
um3/cm2,,,,,,um3/cm2,x,x,um3/cm2,
um3/L|um3/l,,,,,,mm3/L,x * 0.000000001,x / 0.000000001,um3/L|um3/l,
um3/mL|um3/ml,,,,,,ppm,x * 0.000001,x / 0.000001,um3/mL|um3/ml,
umho|umhos|uS,,,,,,umho,x,x,umho|umhos|uS,
umol,,,,,,umol,x,x,umol,
umol/g,,,,,,umol/kg,x * 0.001,x / 0.001,umol/g,
umol/kg,,,,,,umol/kg,x,x,umol/kg,
umol/mol,,,,,,umol/mol,x,x,umol/mol,
umol/S/m2,,,,,,umol/S/m2,x,x,umol/S/m2,
units/cm,,,,,,units/cm,x,x,units/cm,
units/m,,,,,,units/cm,x * 0.01,x / 0.01,units/m,
uPa2,,,,,,uPa2,x,x,uPa2,
uS/m,,,,,,uS/cm,x * 0.01,x / 0.01,uS/m,
uW/cm2,,,,,,uW/cm2,x,x,uW/cm2,
volts,,,,,,volts,x,x,volts,
W/m2,,,,,,W/m2,x,x,W/m2,
Watts,,,,,,Mw,x * 0.000001,x / 0.000001,Watts,
weeks,,,,,,minutes,x * 10080,x / 10080,weeks,
y/m/d,,,,,,y/m/d,x,x,y/m/d,
yd,,,,,,m,x * 0.9144,x / 0.9144,yd,
yd2,,,,,,m2,x * 0.83612736,x / 0.83612736,yd2,
yd3,,,,,,m3,x * 0.764544858,x / 0.764544858,yd3,
years,,,,,,minutes,x * 525960,x / 525960,years,
ymmdd,,,,,,ymmdd,x,x,ymmdd,
yyyymmdd,,,,,,yyyymmdd,x,x,yyyymmdd,
