wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,wqdashboard,ri_ww
Quality Control Sample-Lab Surrogate Control Standard Duplicate,,,,,,Quality Control Sample-Lab Surrogate Control Standard Duplicate,
Quality Control Sample-Lab Surrogate Method Blank,,,,,,Quality Control Sample-Lab Surrogate Method Blank,
Quality Control Sample-Measurement Precision Sample,,,,,,Quality Control Sample-Measurement Precision Sample,
Quality Control Sample-Other,,,,,,Quality Control Sample-Other,
Quality Control Sample-Post-preservative Blank,,,,,,Quality Control Sample-Post-preservative Blank,
Quality Control Sample-Pre-preservative Blank,,,,,,Quality Control Sample-Pre-preservative Blank,
Quality Control Sample-Reagent Blank,,,,,,Quality Control Sample-Reagent Blank,
Quality Control Sample-Reference Sample,,,,,,Quality Control Sample-Reference Sample,
Quality Control Sample-Trip Blank,,,,,,Quality Control Sample-Trip Blank,
Quality Control-Negative Control,,,,,,Quality Control-Negative Control,
Sample-Composite With Parents,,,,,,Sample-Composite With Parents,
Sample-Composite Without Parents,,,,,,Sample-Composite Without Parents,
Sample-Depletion Replicate,,,,,,Sample-Depletion Replicate,
Sample-Field Split,,,,,,Sample-Field Split,
Sample-Field Subsample,,,,,,Sample-Field Subsample,
Sample-Integrated Cross-Sectional Profile,,,,,,Sample-Integrated Cross-Sectional Profile,
Sample-Integrated Flow Proportioned,,,,,,Sample-Integrated Flow Proportioned,
Sample-Integrated Horizontal and Vertical Composite Profile,,,,,,Sample-Integrated Horizontal and Vertical Composite Profile,
Sample-Integrated Horizontal Profile,,,,,,Sample-Integrated Horizontal Profile,
Sample-Integrated Time Series,,,,,,Sample-Integrated Time Series,
Sample-Integrated Vertical Profile,,,,,,Sample-Integrated Vertical Profile,
Sample-Negative Control,,,,,,Sample-Negative Control,
Sample-Positive Control,,,,,,Sample-Positive Control,
Sample-Routine Resample,,,,,,Sample-Routine Resample,
