Sample ID,Sample Date,Lab,Analysis Date,Parameter,Result,Unit,RL,MDL,Method,Sample Depth m
MPL86,08/17/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.30,MG/L,0.1,0.073,SM4500NE_2021,0.2
MPL86,09/07/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
MPL86,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,05/24/23,UMWL,06/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.32,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.41,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.54,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,08/17/23,UMWL,10/23/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.42,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,09/07/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.40,MG/L,0.1,0.073,SM4500NE_2021,0.2
NMM79,10/03/23,UMWL,11/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.36,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,05/24/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,06/29/23,UMWL,08/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,08/17/23,UMWL,10/23/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,09/07/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.15,MG/L,0.1,0.073,SM4500NE_2021,0.2
OBY35,10/03/23,UMWL,11/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.23,MG/L,0.1,0.073,SM4500NE_2021,0.2
