WQX,MassWateR,RI_WW,RI_DEM
,,,Alpha-Endosulfan - 79617
,,,Aluminum - 01105
,,,"Aluminum, Dissolved (as AL) - 01106"
,,,Anthracene - 34220
,,,"Antimony, Total - 01097"
,,,Arsenic III (inorganic) - 01002
,,,Asbestos - 00948
,,,"Barium, Total - 01007"
,,,Benzidine - 39120
,,,Benzo (a) Pyrene - 34247
,,,Benzo (ghi) Perylene - 34521
,,,Benzo (k) Fluoranthene - 34242
,,,"Beryllium, Total - 01012"
,,,Beta-BHC - 39338
,,,Beta-Endosulfan - 79618
,,,Bis (2 Chloroethoxy) Methane - 34278
,,,Bis (2 Chloroisopropyl) Ether - 34283
,,,Bis (2-Ethylhexyl) Phthalate - 39100
,,,Bis (Chloromethyl) Ether - 34268
,,,Bis(2-Chloroethyl) Ether - 34273
,,,BOD - 00310
,,,BOD % Removal - 81010
,,,"Boron, Total - 01022"
,,,Bromide - 71870
,,,Bromoform - 32104
,,,Bromomethane(methylbromide) - 34413
,,,Butyl Benzyl Phthalate - 34292
,,,"Cadmium, Dissolved - 01025"
,,,"Cadmium, Sludge, Tot, Dry Wt. - 78476"
,,,"Cadmium, Total - 01027"
,,,Calcium - 00916
,,,Carbon Tetrachloride - 32102
,,,Chlordane - 39350
,,,Chlorine Usage - 81400
,,,"Chlorine, Free Available - 50064"
,,,"Chlorine, Total Residual - 50060"
,,,Chlorobenzene - 34301
,,,Chlorodibromomethane - 34306
,,,Chloroethane - 34311
,,,Chlorophyll a (analog) - 32230
,,,Chlorophyll a (digital) - 32233
,,,"Chlorophyll a, periphyton, spectrophotometric method, corrected - 32223"
,,,"Chromium, Dissolved and (III) - 01030"
,,,"Chromium, Dissolved Hexavalent - 01220"
,,,"Chromium, Sludge, Tot, Dry Wt. - 78473"
,,,"Chromium, Total - 01034"
,,,"Chromium, Total Hexavalent - 01032"
,,,"Chromium, Total Trivalent - 01033"
,,,Chrysene - 34320
,,,"Cobalt, Total - 01037"
,,,COD - 00340
,,,Color - 00080
,,,"CONFIRMED, TOTAL - SHEL1"
,,,"Copper, Dissolved - 01040"
,,,"Copper, Sludge, Total, Dry Wt. - 78475"
,,,"Copper, Total - 01042"
,,,Cyanide Sludge Solid - 61556
,,,"Cyanide, Total - 00720"
,,,Dibromochloro-methane - 32105
,,,Dichlorobromomethane - 32101
,,,Dichlorodifluoromethane - 34668
,,,"Dichloroethene, Total - 81328"
,,,Dieldrin - 39380
,,,Diethyl Phthalate - 34336
,,,DILUTION CODE - SHEL2
,,,Dimethyl Phthalate - 34341
,,,Di-N-Butyl Phthalate - 39110
,,,Di-N-Octyl Phthalate - 34596
,,,Dioxin - 34675
,,,Endosulfan Sulfate - 34351
,,,Endrin - 39390
,,,Endrin Aldehyde - 34366
,,,Fecal Streptococci - 31679
,,,Fluoranthene - 34376
,,,Fluorene - 34381
,,,Fluoride - 00951
,,,Gamma-BHC - 39782
,,,Hardness - 00900
,,,Heptachlor - 39410
,,,Heptachlor Epoxide - 39420
,,,Hexachlorobenzene - 39700
,,,Hexachlorobutadiene - 39702
,,,Hexachlorocyclopentadiene - 34386
,,,Hexachloroethane - 34396
,,,"Indeno (1,2,3 cd) Pyrene - 34403"
,,,Iron - 01045
,,,"Iron, Dissolved (as Fe) - 01046"
,,,Isophrone - 34408
,,,LC50 STAT 48HR Acute D. pulex - TAA3D
,,,LC50 STAT 48HR Acute Menidia - TAA6B
,,,LC50 STAT 48HR Acute Mysid. Bahia - TAA3E
,,,LC50 STAT 96HR Acute Lepomis macrochirus - TAB6E
,,,LC50 STAT 96HR Acute Mysid. Bahia - TAB3E
,,,LC50 STAT Re 48HR Acute  D. pulex - TAM3D
,,,LC50 STAT Re 48HR Acute Ceriodaphnia - TAM3B
,,,LC50 STAT Re 48HR Acute D. magna - TAM3C
,,,LC50 STAT Re 48HR Acute Menidia - TAM6B
,,,"Lead, Dissolved - 01049"
,,,"Lead, Sludge, Total, Dry Wt. - 78468"
,,,"Lead, Total - 01051"
,,,Manganese - 01055
,,,"Mercury, Dissolved - 71890"
,,,"Mercury, Sludge, Tot, Dry Wt. - 78471"
,,,"Mercury, Total - 71900"
,,,Methyl Chloride - 34418
,,,"Molybdenum, Total - 01062"
,,,MPN RESULT FECAL COLIFORM - SHEL3
,,,MPN RESULT TOTAL COLIFORM - SHEL4
,,,Napthalene - 34696
,,,"Nickel, Dissolved - 01065"
,,,"Nickel, Sludge, Tot, Dry Wt. - 78469"
,,,"Nickel, Total - 01067"
,,,"Nitrite, Dissolved - 00613"
,,,Nitrobenzene - 34447
,,,"Nitrogen, Nitrate Dissolved - 00618"
,,,"Nitrogen, Nitrate Total - 00620"
,,,"Nitrogen, Nitrate Total (as NO3) - 71850"
,,,"Nitrogen, Nitrite Total  as N - 00615"
,,,"Nitrogen, organic (filtered) - 00607"
,,,"Nitrogen, organic (unfiltered) - 00605"
