SiteID,Date,Time,Sample Depth m,Temp °C,Sal psu,ODO mg/L,ODO % sat,pH,Chlorophyll ug/L,Turbidity FNU
P5BSD,5/23/2023,10:25,26,8.7,31.4,9.3,97.6,7.91,1.9,1.3
P5BSD,5/23/2023,10:25,26.1,8.7,31.4,9.3,97.6,7.91,1.9,1.3
P5BSD,6/21/2023,10:31,0.2,15.9,29.9,8.6,104.7,7.96,2.5,1.5
P5BSD,6/21/2023,10:32,1,15,30.2,8.6,102.6,7.97,4.1,1.3
P5BSD,6/21/2023,10:33,2,14.5,30.4,8.8,103.6,7.98,4.8,1.2
P5BSD,6/21/2023,10:33,4,14.3,30.6,8.8,104.3,8,7,1
P5BSD,6/21/2023,10:34,6,13.6,30.7,8.7,100.9,7.97,5.9,1
P5BSD,6/21/2023,10:34,8,13.2,30.7,8.5,98.5,7.96,3.6,1
P5BSD,6/21/2023,10:34,10,12.6,30.9,8.3,95.3,7.94,3.1,1
P5BSD,6/21/2023,10:35,12,12.2,31.1,8.2,93.2,7.93,2.7,1.1
P5BSD,6/21/2023,10:35,14,11.7,31.3,8.2,91.7,7.93,2.3,1
P5BSD,6/21/2023,10:36,16,11.5,31.3,8.2,91.4,7.93,2,1
P5BSD,6/21/2023,10:36,18,11.5,31.4,8.2,91.2,7.93,2.1,1
P5BSD,6/21/2023,10:37,20,11.4,31.4,8.2,91.3,7.93,2.1,1
P5BSD,6/21/2023,10:37,22,10.9,31.5,8.1,90,7.93,1.6,1
P5BSD,6/21/2023,10:38,24.1,10.7,31.6,8.1,89.4,7.93,1.5,1.1
P5BSD,6/21/2023,10:38,26,10.7,31.6,8.1,89.2,7.92,1.6,1.1
P5BSD,6/21/2023,10:38,27.7,10.6,31.6,8.1,89,7.92,1.7,1.2
P5BSD,7/19/2023,9:54,0.2,20.4,28.4,8.6,113,8.11,7.2,1.3
P5BSD,7/19/2023,10:03,22.7,11.4,31.5,7.5,83.7,7.96,0.6,1.7
P5BSD,7/19/2023,10:04,11,12.7,31,7.3,83.7,7.93,2.3,1.1
P5BSD,7/19/2023,10:04,11,12.7,31,7.3,83.4,7.93,2.5,1.1
P5BSD,7/19/2023,10:05,5,15.5,30.1,7.6,91.3,7.98,7.8,1.1
P5BSD,8/16/2023,9:59,0.1,19.1,29.3,8.1,103.8,8,3.2,0.4
