wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
cm3/cm3,,,,,,cm3/cm3,x,
cm3/g,,,,,,cm3/g,x,
cm3/hr,,,,,,cfs,x * 0.00000000981,
cm3/L|cm3/l,,,,,,mm3/L,x * 1000,
cm3/min,,,,,,cfs,x * 0.000000589,
cm3/sec,,,,,,cfs,x * 0.0000353,
code,,,,,,code,x,
COHS/1000ft,,,,,,COHS/1000ft,x,
copies,,,,,,copies,x,
copies/100mL,,,,,,copies/mL,x * 0.01,
copies/250mL|copies/250ml,,,,,,copies/mL,x / 250,
copies/mL|copies/ml,,,,,,copies/mL,x,
count,,,,,,count,x,
counts/sec,,,,,,counts/sec,x,
d/h/m/s,,,,,,d/h/m/s,x,
Da,,,,,,Da,x,
dam3,,,,,,dam3,x,
days,,,,,,minutes,x * 1440,
dB,,,,,,dB,x,
dddmmss,,,,,,dddmmss,x,
decibar,,,,,,g/m2,x * 1019716.213,
deg C/100m,,,,,,deg C/100m,x,
deg K,,,,,,deg C,x - 273.15,x + 273.15
dL|dl,,,,,,m3,x * 0.0001,
dm,,,,,,m,x * 0.1,
dm2,,,,,,m2,x * 0.01,
DOY,,,,,,DOY,x,
dpm/100L|dpm/100l,,,,,,dpm/100L,x,
dpm/cm3,,,,,,dpm/cm3,x,
dpm/g,,,,,,dpm/g,x,
drips/min,,,,,,drips/min,x,
drops,,,,,,drops,x,
eq/L|eq/l,,,,,,eq/L,x,
FBRU,,,,,,FBRU,x,
fc/ft2,,,,,,lm/m2,x * 10.76391042,
fg/kg,,,,,,fg/kg,x,
fibers/cm3,,,,,,fibers/cm3,x,
fibers/L|fibers/l,,,,,,fibers/L,x,
fraction,,,,,,fraction,x,
ft/day,,,,,,m/sec,x * 0.00000353,
ft/hr,,,,,,ft/hr,x,
ft/mile,,,,,,ft/mile,x,
ft/min,,,,,,m/sec,x * 0.00508,
ft/sec,,,,,,m/sec,x * 0.3048,
ft2,,,,,,m2,x * 0.09290304,
ft3,,,,,,m3,x * 0.028316847,
ft3/day,,,,,,cfs,x / 86400,
ft-candles,,,,,,lm/m2,x * 10.76391042,
ft-lbs,,,,,,kcal,x * 0.000323832,
g,,,,,,g,x,
g/cm2,,,,,,ug/cm2,x * 1000000,
g/cm3,,,,,,ug/L,x * 1000000000,
g/day,,,,,,lb/day,x * 0.002204623,
g/g,,,,,,g/g,x,
g/hr,,,,,,lb/day,x * 0.052910952,
g/L|g/l,,,,,,ug/L,x * 1000000,
g/m2,,,,,,g/m2,x,
g/m2/day,,,,,,mg/m2/day,x * 1000,
g/m2/hr,,,,,,mg/m2/day,x * 24000,
g/m2/month,,,,,,g/m2/month,x,
g/m2/sec,,,,,,g/m2/sec,x,
g/m3,,,,,,ug/L,x * 1000,
g/m3/day,,,,,,mg/m3/day,x * 1000,
g/m3/hr,,,,,,mg/m3/day,x * 24000,
g/min,,,,,,lb/day,x * 3.17465712,
g/mL|g/ml,,,,,,ug/L,x * 1000000000,
g/sec,,,,,,lb/day,x * 190.4794272,
g/stalk,,,,,,g/stalk,x,
gal,,,,,,m3,x * 0.003785412,
gal/hr,,,,,,cfs,x * 0.0000371,
gal/sec,,,,,,cfs,x * 0.133680556,
gc/uL|gc/ul,,,,,,gc/uL,x,
geu/100mL|geu/100ml,,,,,,geu/100mL,x,
geu/g,,,,,,geu/g,x,
gpg,,,,,,ug/L,x * 17118.06007,
gpm/ft,,,,,,gpm/ft,x,
